StimIndex	FileName	PrefabPath
12	BOD0_BMC1_BCC14_BPT4_FRC15_HEA0_HMC11_HCC15_HPT0_ELT3_ERT1_ELL0_ERL0_AP2_AAL1_AAR0_BEK1.fbx	DefaultResources/Stimuli
13	BOD0_BMC1_BCC17_BPT1_FRC13_HEA1_HMC6_HCC6_HPT4_ELT3_ERT0_ELL2_ERL1_AP1_AAL2_AAR0_BEK1.fbx	DefaultResources/Stimuli
14	BOD0_BMC2_BCC0_BPT2_FRC5_HEA2_HMC14_HCC12_HPT1_ELT0_ERT3_ELL1_ERL0_AP3_AAL1_AAR2_BEK1.fbx	DefaultResources/Stimuli
15	BOD0_BMC2_BCC0_BPT3_FRC14_HEA2_HMC11_HCC2_HPT4_ELT2_ERT0_ELL2_ERL0_AP1_AAL2_AAR2_BEK1.fbx	DefaultResources/Stimuli
16	BOD0_BMC2_BCC5_BPT1_FRC21_HEA1_HMC6_HCC10_HPT1_ELT0_ERT1_ELL2_ERL2_AP0_AAL2_AAR2_BEK0.fbx	DefaultResources/Stimuli
17	BOD0_BMC2_BCC5_BPT3_FRC28_HEA1_HMC11_HCC3_HPT0_ELT2_ERT3_ELL0_ERL1_AP2_AAL0_AAR2_BEK1.fbx	DefaultResources/Stimuli
18	BOD0_BMC2_BCC8_BPT1_FRC20_HEA1_HMC14_HCC15_HPT4_ELT1_ERT2_ELL0_ERL1_AP3_AAL1_AAR1_BEK1.fbx	DefaultResources/Stimuli
19	BOD0_BMC2_BCC8_BPT2_FRC7_HEA0_HMC6_HCC7_HPT3_ELT0_ERT3_ELL0_ERL1_AP2_AAL0_AAR2_BEK1.fbx	DefaultResources/Stimuli
20	BOD0_BMC2_BCC10_BPT4_FRC23_HEA2_HMC4_HCC12_HPT2_ELT0_ERT2_ELL0_ERL1_AP2_AAL2_AAR0_BEK0.fbx	DefaultResources/Stimuli
21	BOD0_BMC2_BCC11_BPT0_FRC25_HEA1_HMC4_HCC9_HPT0_ELT2_ERT2_ELL0_ERL2_AP0_AAL1_AAR2_BEK0.fbx	DefaultResources/Stimuli
22	BOD0_BMC2_BCC13_BPT4_FRC7_HEA1_HMC15_HCC6_HPT2_ELT2_ERT3_ELL2_ERL1_AP2_AAL0_AAR2_BEK1.fbx	DefaultResources/Stimuli
23	BOD0_BMC3_BCC4_BPT2_FRC10_HEA1_HMC2_HCC0_HPT2_ELT3_ERT2_ELL1_ERL1_AP2_AAL0_AAR2_BEK0.fbx	DefaultResources/Stimuli
24	BOD0_BMC3_BCC5_BPT1_FRC3_HEA0_HMC6_HCC13_HPT4_ELT2_ERT2_ELL1_ERL0_AP0_AAL1_AAR2_BEK0.fbx	DefaultResources/Stimuli
25	BOD0_BMC3_BCC7_BPT0_FRC19_HEA1_HMC6_HCC5_HPT4_ELT1_ERT3_ELL1_ERL1_AP2_AAL1_AAR2_BEK0.fbx	DefaultResources/Stimuli
26	BOD0_BMC3_BCC8_BPT1_FRC15_HEA0_HMC4_HCC7_HPT2_ELT0_ERT1_ELL0_ERL0_AP2_AAL0_AAR1_BEK0.fbx	DefaultResources/Stimuli
27	BOD0_BMC3_BCC9_BPT1_FRC4_HEA0_HMC4_HCC3_HPT3_ELT0_ERT1_ELL2_ERL2_AP0_AAL1_AAR1_BEK0.fbx	DefaultResources/Stimuli
28	BOD0_BMC3_BCC10_BPT4_FRC8_HEA1_HMC7_HCC3_HPT4_ELT2_ERT1_ELL1_ERL2_AP1_AAL1_AAR0_BEK0.fbx	DefaultResources/Stimuli
29	BOD0_BMC3_BCC12_BPT4_FRC22_HEA0_HMC13_HCC3_HPT3_ELT2_ERT1_ELL0_ERL2_AP3_AAL1_AAR0_BEK0.fbx	DefaultResources/Stimuli
