Index	ObjectName	OpenSpriteName	ClosedSpriteName	ActivateDelay	OpenAngle	ClosedLineThickness	IsTarget	RotateTowardsDest	Speed	Size	NextDestDist	CloseDuration	ResponseWindow	MinAnimGap	RatesAndDurations	AngleProbs	AngleRanges	NumDestWithoutBigTurn	ObjectColor	Opacity	SliderChange	MouthAngles	RewardPulsesBySec
20	T21	Pacman	Pacman	40	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
21	T22	Pacman	Pacman	40	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
22	T23	Pacman	Pacman	40	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
23	T24	Pacman	Pacman	40	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
24	T25	Pacman	Pacman	40	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
25	T26	Pacman	Pacman	50	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
26	T27	Pacman	Pacman	50	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
27	T28	Pacman	Pacman	50	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
28	T29	Pacman	Pacman	50	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
29	T30	Pacman	Pacman	50	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
30	T31	Pacman	Pacman	60	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
31	T32	Pacman	Pacman	60	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
32	T33	Pacman	Pacman	60	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
33	T34	Pacman	Pacman	60	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
34	T35	Pacman	Pacman	60	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
35	T36	Pacman	Pacman	70	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
36	T37	Pacman	Pacman	70	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
37	T38	Pacman	Pacman	70	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
38	T39	Pacman	Pacman	70	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
39	T40	Pacman	Pacman	70	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
40	T41	Pacman	Pacman	80	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
41	T42	Pacman	Pacman	80	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
42	T43	Pacman	Pacman	80	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
43	T44	Pacman	Pacman	80	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
44	T45	Pacman	Pacman	80	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
45	T46	Pacman	Pacman	90	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
46	T47	Pacman	Pacman	90	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
47	T48	Pacman	Pacman	90	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
48	T49	Pacman	Pacman	90	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
49	T50	Pacman	Pacman	90	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
50	T51	Pacman	Pacman	100	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
51	T52	Pacman	Pacman	100	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
52	T53	Pacman	Pacman	100	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
53	T54	Pacman	Pacman	100	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
54	T55	Pacman	Pacman	100	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
55	T56	Pacman	Pacman	110	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
56	T57	Pacman	Pacman	110	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
57	T58	Pacman	Pacman	110	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
58	T59	Pacman	Pacman	110	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
59	T60	Pacman	Pacman	110	45	5	TRUE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[198, 93, 253]	1	1	[[45,1]]	[]
60	D1	Pacman	Pacman	0	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
61	D2	Pacman	Pacman	0	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
62	D3	Pacman	Pacman	0	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
63	D4	Pacman	Pacman	0	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
64	D5	Pacman	Pacman	0	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
65	D6	Pacman	Pacman	10	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
66	D7	Pacman	Pacman	10	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
67	D8	Pacman	Pacman	10	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
68	D9	Pacman	Pacman	10	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
69	D10	Pacman	Pacman	10	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
70	D11	Pacman	Pacman	20	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
71	D12	Pacman	Pacman	20	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
72	D13	Pacman	Pacman	20	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
73	D14	Pacman	Pacman	20	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
74	D15	Pacman	Pacman	20	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
75	D16	Pacman	Pacman	30	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
76	D17	Pacman	Pacman	30	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
77	D18	Pacman	Pacman	30	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
78	D19	Pacman	Pacman	30	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
79	D20	Pacman	Pacman	30	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
80	D21	Pacman	Pacman	40	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
81	D22	Pacman	Pacman	40	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
82	D23	Pacman	Pacman	40	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
83	D24	Pacman	Pacman	40	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
84	D25	Pacman	Pacman	40	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
85	D26	Pacman	Pacman	50	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
86	D27	Pacman	Pacman	50	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
87	D28	Pacman	Pacman	50	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
88	D29	Pacman	Pacman	50	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
89	D30	Pacman	Pacman	50	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
90	D31	Pacman	Pacman	60	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
91	D32	Pacman	Pacman	60	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
92	D33	Pacman	Pacman	60	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
93	D34	Pacman	Pacman	60	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
94	D35	Pacman	Pacman	60	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
95	D36	Pacman	Pacman	70	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
96	D37	Pacman	Pacman	70	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
97	D38	Pacman	Pacman	70	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
98	D39	Pacman	Pacman	70	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
99	D40	Pacman	Pacman	70	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
100	D41	Pacman	Pacman	80	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
101	D42	Pacman	Pacman	80	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
102	D43	Pacman	Pacman	80	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
103	D44	Pacman	Pacman	80	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
104	D45	Pacman	Pacman	80	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
105	D46	Pacman	Pacman	90	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
106	D47	Pacman	Pacman	90	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
107	D48	Pacman	Pacman	90	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
108	D49	Pacman	Pacman	90	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
109	D50	Pacman	Pacman	90	45	5	FALSE	FALSE	300	160	140	0.5	[.01, .9]	1.4	[[.3, 10]]	[.4, .5, .1]	[[0, 16], [16, 46], [46, 181]]	4	[158, 93, 253]	0.95	1	[[45,1]]	[]
